;fechamuestreo;patente;latitud;longitud;num_paradero;dist30s;dist_total;grupo
48;2018-08-01 16:20:05;BJFF-15;-33.4170189;-70.6565704;24;0.1861815064482823;7.325699680257762;1
49;2018-08-01 16:20:35;BJFF-15;-33.4172173;-70.656517;24;0.0226109848918829;7.348310665149645;1
50;2018-08-01 16:21:05;BJFF-15;-33.419323;-70.6559906;25;0.2391863308326043;7.587496995982249;1
51;2018-08-01 16:21:35;BJFF-15;-33.4196892;-70.6559525;25;0.0408729900821371;7.628369986064387;1
52;2018-08-01 16:22:05;BJFF-15;-33.4203224;-70.6559372;26;0.0704230992107708;7.698793085275158;1
53;2018-08-01 16:22:35;BJFF-15;-33.4212265;-70.6557693;26;0.1017320471394313;7.800525132414589;1
54;2018-08-01 16:23:05;BJFF-15;-33.4214096;-70.6557236;26;0.0207967142497936;7.821321846664382;1
55;2018-08-01 16:23:35;BJFF-15;-33.4217529;-70.6556168;26;0.0394392515598813;7.860761098224263;1
56;2018-08-01 16:24:05;BJFF-15;-33.4223824;-70.6555328;26;0.0704300737683215;7.931191171992586;1
57;2018-08-01 16:24:35;BJFF-15;-33.4252777;-70.6547852;27;0.3293344590683675;8.260525631060952;1
58;2018-08-01 16:25:05;BJFF-15;-33.4277382;-70.6540451;28;0.2820849255934783;8.54261055665443;1
59;2018-08-01 16:25:35;BJFF-15;-33.42873;-70.6537476;28;0.1136864959276148;8.656297052582046;1
60;2018-08-01 16:26:05;BJFF-15;-33.4299622;-70.6533737;29;0.1413398156681176;8.797636868250164;1
61;2018-08-01 16:26:35;BJFF-15;-33.4304123;-70.6532593;29;0.0511624555017129;8.848799323751876;1
62;2018-08-01 16:27:05;BJFF-15;-33.43088915;-70.65312575;29;0.0544524102608413;8.903251734012718;1
63;2018-08-01 16:27:35;BJFF-15;-33.431366;-70.6529922;29;0.0544524102608413;8.95770414427356;1
64;2018-08-01 16:28:05;BJFF-15;-33.4317284;-70.6529694;29;0.040352590646807;8.998056734920366;1
65;2018-08-01 16:28:35;BJFF-15;-33.4321861;-70.6531219;29;0.0528249013392967;9.050881636259664;1
